aggregation,quintile,mode,households_in_buffer,total_households,household_shares_in_buffer
poc,High,all_hct,142138,318213,0.44667565435730155
poc,Low,all_hct,38020,314221,0.1209976417871498
poc,Low Medium,all_hct,79030,324460,0.243573938235838
poc,Medium,all_hct,102406,323510,0.31654662916138604
poc,Medium High,all_hct,119970,324709,0.3694692786464188
poc,High,light_rail,60448,318213,0.1899608124118122
poc,Low,light_rail,7848,314221,0.02497605188704765
poc,Low Medium,light_rail,26804,324460,0.08261110768661777
poc,Medium,light_rail,42888,323510,0.13257086334270965
poc,Medium High,light_rail,61541,324709,0.18952662229873518
poc,High,commuter_rail,5306,318213,0.01667436591214061
poc,Low,commuter_rail,3726,314221,0.011857896194079964
poc,Low Medium,commuter_rail,498,324460,0.0015348579177710657
poc,Medium,commuter_rail,2580,323510,0.007975023955982813
poc,Medium High,commuter_rail,4805,324709,0.014797865165425042
poc,High,ferry,1164,318213,0.0036579272374164477
poc,Low,ferry,5823,314221,0.018531543085917236
poc,Low Medium,ferry,2888,324460,0.008900943105467546
poc,Medium,ferry,3249,323510,0.010042966214336497
poc,Medium High,ferry,1854,324709,0.005709727787033929
poc,High,passenger_ferry,1164,318213,0.0036579272374164477
poc,Low,passenger_ferry,1859,314221,0.0059162182031118225
poc,Low Medium,passenger_ferry,458,324460,0.0014115761573075263
poc,Medium,passenger_ferry,764,323510,0.002361596241229019
poc,Medium High,passenger_ferry,1405,324709,0.0043269512086206415
poc,High,brt,135505,318213,0.4258311256925393
poc,Low,brt,32001,314221,0.10184233389875279
poc,Low Medium,brt,74345,324460,0.22913456204154595
poc,Medium,brt,93810,323510,0.28997558035300297
poc,Medium High,brt,112464,324709,0.3463531962464853
income,High,all_hct,127740,306760,0.41641674273047335
income,Low,all_hct,51351,304554,0.16861049272050277
income,Low Medium,all_hct,94748,338097,0.28023910297932253
income,Medium,all_hct,90778,330008,0.27507817992291095
income,Medium High,all_hct,116947,325694,0.3590701701597205
income,High,light_rail,57262,306760,0.1866671013169905
income,Low,light_rail,14003,304554,0.045978709851126565
income,Low Medium,light_rail,39055,338097,0.11551418675705492
income,Medium,light_rail,41294,330008,0.12513029987151827
income,Medium High,light_rail,47915,325694,0.14711661866660117
income,High,commuter_rail,11033,306760,0.03596622766983961
income,Low,commuter_rail,501,304554,0.0016450284678579169
income,Low Medium,commuter_rail,375,338097,0.001109149149504432
income,Medium,commuter_rail,2556,330008,0.00774526678141136
income,Medium High,commuter_rail,2450,325694,0.007522398324807948
income,High,ferry,3527,306760,0.01149758769070283
income,Low,ferry,4658,304554,0.015294496214136082
income,Low Medium,ferry,2739,338097,0.008101225387980372
