geoid20,Total Acreage,2021 Canopy Acreage,Canopy_2021,County Name
53033000101,103,66,64%,King
53033000102,365,309,85%,King
53033000201,446,392,88%,King
53033000202,366,336,92%,King
53033000300,299,258,86%,King
53033000402,444,362,81%,King
53033000403,181,139,77%,King
53033000404,156,74,47%,King
53033000500,700,678,97%,King
53033000601,354,305,86%,King
53033000602,596,401,67%,King
53033000700,320,257,80%,King
53033000800,282,275,97%,King
53033000900,249,228,92%,King
53033001000,236,194,82%,King
53033001100,262,252,96%,King
53033001201,249,108,43%,King
53033001202,203,173,85%,King
53033001300,292,209,72%,King
53033001400,532,490,92%,King
53033001500,283,276,97%,King
53033001600,473,405,86%,King
53033001701,221,169,77%,King
53033001702,316,281,89%,King
53033001800,234,170,73%,King
53033001900,412,334,81%,King
53033002000,280,244,87%,King
53033002100,337,321,95%,King
53033002200,694,663,96%,King
53033002400,238,221,93%,King
53033002500,243,218,90%,King
53033002600,308,255,83%,King
53033002700,392,326,83%,King
53033002800,244,217,89%,King
53033002900,244,223,92%,King
53033003000,369,335,91%,King
53033003100,533,486,91%,King
53033003201,286,181,63%,King
53033003202,236,208,88%,King
53033003301,165,133,81%,King
53033003302,155,117,76%,King
53033003400,195,179,92%,King
53033003500,317,292,92%,King
53033003601,167,141,85%,King
53033003602,129,73,57%,King
53033003800,154,138,89%,King
53033003900,241,213,89%,King
53033004000,619,353,57%,King
53033004101,394,362,92%,King
53033004102,418,381,91%,King
53033004201,307,283,92%,King
53033004202,302,259,86%,King
53033004301,242,194,80%,King
53033004302,82,60,73%,King
53033004401,172,158,92%,King
53033004402,73,44,60%,King
53033004500,166,143,86%,King
53033004600,639,348,54%,King
53033004701,149,25,17%,King
53033004702,66,26,39%,King
53033004703,299,92,31%,King
53033004800,318,258,81%,King
53033004901,123,90,73%,King
53033004902,147,88,60%,King
53033005000,187,144,77%,King
53033005100,218,198,91%,King
53033005201,174,127,73%,King
53033005202,67,31,46%,King
53033005303,571,334,58%,King
53033005304,18,9,51%,King
53033005305,53,7,14%,King
53033005306,50,5,10%,King
53033005307,32,26,80%,King
53033005401,189,97,52%,King
53033005402,115,92,80%,King
53033005600,754,672,89%,King
53033005700,"1,260","1,038",82%,King
53033005801,454,257,57%,King
53033005803,206,180,88%,King
53033005804,582,190,33%,King
53033005901,191,141,74%,King
53033005902,253,235,93%,King
53033006000,333,282,85%,King
53033006100,277,203,73%,King
