geoid20,Total Acreage,2011 Canopy Acreage,Canopy_2011,2021 Canopy Acreage,Canopy_2021,Canopy Change,Acreage Gain,Acreage Loss,Net Change,County Name
53033000101,103,69,67%,66,64%,-3%,4.4,7.5,-3,King
53033000102,365,305,83%,309,85%,2%,11.4,7.2,4.2,King
53033000201,446,403,90%,392,88%,-2%,8.5,19.1,-10.6,King
53033000202,366,343,94%,336,92%,-2%,2.3,9.5,-7.2,King
53033000300,299,268,89%,258,86%,-3%,3.9,13.5,-9.6,King
53033000402,444,380,86%,362,81%,-5%,7.4,25.8,-18.4,King
53033000403,181,142,78%,139,77%,-1%,5.3,7.8,-2.5,King
53033000404,156,76,49%,74,47%,-2%,4.2,6.5,-2.3,King
53033000500,700,689,98%,678,97%,-1%,0.4,11.2,-10.7,King
53033000601,354,314,89%,305,86%,-3%,5.8,14.8,-9,King
53033000602,596,407,68%,401,67%,-1%,22.2,28.4,-6.2,King
53033000700,320,260,81%,257,80%,-1%,6.2,9.1,-2.9,King
53033000800,282,277,98%,275,97%,-1%,1,2.9,-1.8,King
53033000900,249,225,91%,228,92%,1%,4.7,1.7,2.9,King
53033001000,236,201,85%,194,82%,-3%,2,8.8,-6.8,King
53033001100,262,253,97%,252,96%,-1%,1.5,3.2,-1.7,King
53033001201,249,109,44%,108,43%,-1%,16.9,17.7,-0.7,King
53033001202,203,174,86%,173,85%,-1%,4.3,5.1,-0.8,King
53033001300,292,215,74%,209,72%,-2%,6.8,12.8,-6,King
53033001400,532,498,94%,490,92%,-2%,6.5,14.1,-7.6,King
53033001500,283,278,98%,276,97%,-1%,0.9,3.6,-2.8,King
53033001600,473,414,88%,405,86%,-2%,9.4,19,-9.6,King
53033001701,221,173,78%,169,77%,-1%,7.6,11.6,-4,King
53033001702,316,288,91%,281,89%,-2%,3,10.3,-7.3,King
53033001800,234,180,77%,170,73%,-4%,6.1,15.6,-9.5,King
53033001900,412,339,82%,334,81%,-1%,12.1,16.5,-4.4,King
53033002000,280,245,88%,244,87%,-1%,5.8,6.6,-0.8,King
53033002100,337,327,97%,321,95%,-2%,1.3,6.6,-5.4,King
