geoid20,Total Acreage,2011 Canopy Acreage,Canopy_2011,County Name
53061052105,"13,499","5,601",41%,Snohomish
53061052107,"3,080","2,929",95%,Snohomish
53061052108,"5,795","5,014",87%,Snohomish
53061052112,"3,623","3,370",93%,Snohomish
53061052113,"5,518","4,463",81%,Snohomish
53061052114,"1,622","1,549",95%,Snohomish
53061052119,334,314,94%,Snohomish
53061052120,403,393,98%,Snohomish
53061052121,655,612,93%,Snohomish
53061052122,"2,123","1,890",89%,Snohomish
53061052203,"4,270","3,146",74%,Snohomish
53061052204,"2,204",920,42%,Snohomish
53061052206,"12,898","12,088",94%,Snohomish
53061052207,"16,624","14,672",88%,Snohomish
53061052208,462,378,82%,Snohomish
53061052210,731,468,64%,Snohomish
53061052211,"1,411",709,50%,Snohomish
53061052301,"9,883","9,112",92%,Snohomish
53061052302,"8,453","5,765",68%,Snohomish
53061052401,"1,025",817,80%,Snohomish
53061052402,610,404,66%,Snohomish
53061052502,"3,566","2,818",79%,Snohomish
53061052504,"1,946","1,771",91%,Snohomish
53061052505,644,553,86%,Snohomish
53061052506,590,548,93%,Snohomish
53061052603,"1,866","1,720",92%,Snohomish
53061052604,907,800,88%,Snohomish
53061052605,"1,172","1,047",89%,Snohomish
53061052606,"3,252","2,827",87%,Snohomish
53061052607,"2,509","2,166",86%,Snohomish
53061052701,"5,053","4,509",89%,Snohomish
53061052706,"1,232","1,102",89%,Snohomish
53061052707,"1,306","1,179",90%,Snohomish
53061052708,781,747,96%,Snohomish
53061052709,"4,977","4,308",87%,Snohomish
53061052710,640,624,97%,Snohomish
53061052711,"3,336","2,852",86%,Snohomish
53061052803,"3,480","1,193",34%,Snohomish
53061052805,"1,051",915,87%,Snohomish
53061052807,661,527,80%,Snohomish
53061052808,"1,051",534,51%,Snohomish
53061052809,303,263,87%,Snohomish
53061052810,479,440,92%,Snohomish
53061052903,807,438,54%,Snohomish
53061052904,870,668,77%,Snohomish
53061052905,506,355,70%,Snohomish
53061052906,598,555,93%,Snohomish
53061053101,"6,772","4,457",66%,Snohomish
53061053102,"6,229","4,657",75%,Snohomish
53061053201,"11,837","6,860",58%,Snohomish
53061053202,"6,164","5,122",83%,Snohomish
53061053301,"6,141","1,482",24%,Snohomish
53061053302,"22,112","14,219",64%,Snohomish
53061053400,"32,114","28,759",90%,Snohomish
53061053505,"12,436","10,965",88%,Snohomish
53061053506,"64,111","57,982",90%,Snohomish
53061053507,"1,179",915,78%,Snohomish
53061053508,"3,708",976,26%,Snohomish
53061053509,"2,080",811,39%,Snohomish
53061053510,"1,025",667,65%,Snohomish
53061053511,"1,937","1,789",92%,Snohomish
53061053603,"10,248","9,149",89%,Snohomish
53061053604,"3,973","2,972",75%,Snohomish
53061053605,"9,561","9,178",96%,Snohomish
53061053606,"123,879","116,594",94%,Snohomish
53061053700,"418,142","366,125",88%,Snohomish
53061053801,"281,962","257,312",91%,Snohomish
53061053802,"5,564","4,331",78%,Snohomish
53061053803,"67,888","63,351",93%,Snohomish
53061940001,"13,029","10,969",84%,Snohomish
53061940002,"9,689","9,270",96%,Snohomish
