aggregation,quintile,mode,households_in_buffer,total_households,household_shares_in_buffer
youth,Low Medium,commuter_rail,4297,322439,0.013326551688846573
youth,Medium,commuter_rail,1424,317754,0.00448145420671337
youth,Medium High,commuter_rail,1127,302317,0.0037278750450685867
youth,High,ferry,178,286542,0.0006212003824919209
youth,Low,ferry,10673,375574,0.02841783510040631
youth,Low Medium,ferry,2800,322439,0.008683813062315663
youth,Medium,ferry,545,317754,0.001715163302428923
youth,Medium High,ferry,782,302317,0.002586688806782285
youth,Low,passenger_ferry,4236,286542,0.014783173147392005
youth,Low Medium,passenger_ferry,1244,375574,0.003312263362213572
youth,Medium,passenger_ferry,115,322439,0.00035665660791653613
youth,Medium High,passenger_ferry,55,317754,0.00017308987455704727
youth,High,brt,41358,286542,0.14433486190506103
youth,Low,brt,204061,375574,0.5433310080037489
youth,Low Medium,brt,80467,322439,0.2495572806019123
youth,Medium,brt,70249,317754,0.2210798290501457
youth,Medium High,brt,51989,302317,0.1719684966442509
older,High,all_hct,65606,319386,0.20541288597496446
older,Low,all_hct,160642,336760,0.47702221166409314
older,Low Medium,all_hct,103166,317521,0.32491079330186035
older,Medium,all_hct,86801,316495,0.27425709726851927
older,Medium High,all_hct,65348,314464,0.207807570977918
older,High,light_rail,22961,319386,0.07189106598285461
older,Low,light_rail,90240,336760,0.26796531654590805
older,Low Medium,light_rail,39603,317521,0.12472560869989702
older,Medium,light_rail,26280,316495,0.08303448711670011
older,Medium High,light_rail,20445,314464,0.06501539126895288
older,High,commuter_rail,5658,319386,0.017715241118896885
older,Low,commuter_rail,2480,336760,0.007364295046917687
older,Low Medium,commuter_rail,1847,317521,0.00581693809228366
older,Medium,commuter_rail,5397,316495,0.017052402091660215
older,Medium High,commuter_rail,1533,314464,0.004874961839829043
older,High,ferry,5992,319386,0.018760997664268315
older,Low,ferry,2733,336760,0.00811557192065566
older,Low Medium,ferry,1023,317521,0.003221834146402915
older,Medium,ferry,2275,316495,0.007188107237081154
older,Medium High,ferry,2955,314464,0.0093969420983006
older,High,passenger_ferry,813,319386,0.0025455091957693825
older,Low,passenger_ferry,1949,336760,0.005787504454210714
older,Low Medium,passenger_ferry,509,317521,0.0016030435782200233
older,Medium,passenger_ferry,1721,316495,0.005437684639567766
older,Medium High,passenger_ferry,658,314464,0.0020924493741731965
older,High,brt,59152,319386,0.18520536278985303
older,Low,brt,151964,336760,0.4512531179474997
older,Low Medium,brt,94663,317521,0.298131462171006
older,Medium,brt,81952,316495,0.25893616012891196
older,Medium High,brt,60393,314464,0.19205060038668972
lep,High,all_hct,152515,334481,0.4559750778071101
lep,Low,all_hct,219673,944439,0.2325962820256258
lep,Medium High,all_hct,109375,325706,0.3358089811056597
lep,High,light_rail,63895,334481,0.19102729303009738
lep,Low,light_rail,87968,944439,0.09314312517801573
lep,Medium High,light_rail,47666,325706,0.14634670531092459
lep,High,commuter_rail,4731,334481,0.014144301171068014
lep,Low,commuter_rail,8304,944439,0.008792521274534407
lep,Medium High,commuter_rail,3880,325706,0.011912583741165345
lep,High,ferry,331,334481,0.0009895928318798377
lep,Low,ferry,8859,944439,0.00938017172098992
lep,Medium High,ferry,5788,325706,0.01777062749841882
lep,High,passenger_ferry,331,334481,0.0009895928318798377
lep,Low,passenger_ferry,3275,944439,0.0034676670489041644
lep,Medium High,passenger_ferry,2044,325706,0.006275598238902568
lep,High,brt,145066,334481,0.43370475453015267
lep,Low,brt,202155,944439,0.2140477045102966
lep,Medium High,brt,100903,325706,0.3097977931017543
