aggregation,quintile,mode,households_in_buffer,total_households,household_shares_in_buffer
poc,High,all_hct,149123,326305,0.4570049493571965
poc,Low,all_hct,37187,305583,0.12169197893861897
poc,Low Medium,all_hct,76823,322679,0.23807870980138157
poc,Medium,all_hct,98015,323639,0.30285287001875544
poc,Medium High,all_hct,120415,326420,0.36889590098645914
poc,High,light_rail,66641,326305,0.20422917209359343
poc,Low,light_rail,7497,305583,0.024533432815307135
poc,Low Medium,light_rail,29562,322679,0.09161426681004961
poc,Medium,light_rail,42832,323639,0.13234498932452515
poc,Medium High,light_rail,52997,326420,0.1623583113779793
poc,High,commuter_rail,5073,326305,0.015546804370144498
poc,Low,commuter_rail,2485,305583,0.008131996871553719
poc,Low Medium,commuter_rail,2250,322679,0.006972873970726326
poc,Medium,commuter_rail,5149,323639,0.015909701859170247
poc,Medium High,commuter_rail,1958,326420,0.0059984069603578214
poc,High,ferry,909,326305,0.002785737270345229
poc,Low,ferry,4529,305583,0.014820850636324665
poc,Low Medium,ferry,3769,322679,0.01168033866474112
poc,Medium,ferry,4998,323639,0.01544313262616681
poc,Medium High,ferry,773,326420,0.002368114698854237
poc,High,passenger_ferry,460,326305,0.0014097240311978056
poc,Low,passenger_ferry,903,305583,0.0029550073138885345
poc,Low Medium,passenger_ferry,813,322679,0.0025195317947557788
poc,Medium,passenger_ferry,3353,323639,0.010360308862652523
poc,Medium High,passenger_ferry,121,326420,0.0003706880705839103
poc,High,brt,142115,326305,0.43552811020364385
poc,Low,brt,31823,305583,0.10413864645611831
poc,Low Medium,brt,70695,322679,0.21908770016022114
poc,Medium,brt,89488,323639,0.27650561273517715
poc,Medium High,brt,114003,326420,0.34925249678328535
income,High,all_hct,134587,322537,0.4172761574641049
income,Low,all_hct,46342,296514,0.15628941635133586
income,Low Medium,all_hct,86047,322559,0.2667635998375491
income,Medium,all_hct,98958,330409,0.29950152689545384
income,Medium High,all_hct,115629,332607,0.34764451740342206
income,High,light_rail,58975,322537,0.182847239231468
income,Low,light_rail,17766,296514,0.05991622655254052
income,Low Medium,light_rail,33743,322559,0.10461031935242855
income,Medium,light_rail,45479,330409,0.13764455568704242
income,Medium High,light_rail,43566,332607,0.13098341285661455
income,High,commuter_rail,10586,322537,0.03282104068680493
income,Low,commuter_rail,354,296514,0.0011938728019587608
income,Low Medium,commuter_rail,649,322559,0.0020120350075490067
income,Medium,commuter_rail,2027,330409,0.0061348207827268625
income,Medium High,commuter_rail,3299,332607,0.009918612656979558
income,High,ferry,2826,322537,0.008761785469574034
income,Low,ferry,3115,296514,0.01050540615282921
income,Low Medium,ferry,3778,322559,0.011712585914514864
income,Medium,ferry,2585,330409,0.007823636765342349
income,Medium High,ferry,2674,332607,0.008039518109961606
income,High,passenger_ferry,2491,322537,0.007723144941510586
income,Low,passenger_ferry,953,296514,0.003214013503578246
income,Low Medium,passenger_ferry,1079,322559,0.0033451244578511217
income,Medium,passenger_ferry,484,330409,0.0014648511390428227
income,Medium High,passenger_ferry,643,332607,0.0019332124699720692
income,High,brt,127185,322537,0.39432685242313287
income,Low,brt,41797,296514,0.14096130368211957
income,Low Medium,brt,80169,322559,0.2485405770727216
income,Medium,brt,89955,330409,0.2722534797780932
income,Medium High,brt,109018,332607,0.32776820692288494
disability,High,all_hct,75302,311695,0.24158873257511349
disability,Low,all_hct,148834,335085,0.4441678976975991
disability,Low Medium,all_hct,94762,320885,0.29531452077847203
disability,Medium,all_hct,86342,320042,0.2697833409365021
disability,Medium High,all_hct,76323,316919,0.24082809803135816
disability,High,light_rail,27801,311695,0.08919296106771042
disability,Low,light_rail,72426,335085,0.21614217288150767
disability,Low Medium,light_rail,39535,320885,0.1232061330383159
disability,Medium,light_rail,32683,320042,0.10212097162247455
disability,Medium High,light_rail,27084,316919,0.08546032266919938
disability,High,commuter_rail,7407,311695,0.02376361507242657
disability,Low,commuter_rail,1497,335085,0.0044675231657639106
disability,Low Medium,commuter_rail,374,320885,0.0011655265905230845
disability,Medium,commuter_rail,2253,320042,0.0070397010392386
disability,Medium High,commuter_rail,5384,316919,0.01698856805682209
disability,High,ferry,1553,311695,0.004982434751920948
disability,Low,ferry,4800,335085,0.014324723577599714
disability,Low Medium,ferry,1923,320885,0.005992801159293828
disability,Medium,ferry,2134,320042,0.006667874841427062
disability,Medium High,ferry,4568,316919,0.014413777652964954
disability,High,passenger_ferry,402,311695,0.001289722324708449
disability,Low,passenger_ferry,1565,335085,0.0046704567497799065
disability,Low Medium,passenger_ferry,253,320885,0.0007884444582950278
disability,Medium,passenger_ferry,497,320042,0.0015529211790952437
disability,Medium High,passenger_ferry,2933,316919,0.009254730704060028
disability,High,brt,70120,311695,0.22496350599143394
disability,Low,brt,140262,335085,0.41858632884193564
disability,Low Medium,brt,89548,320885,0.2790657088988267
disability,Medium,brt,77566,320042,0.2423619399953756
disability,Medium High,brt,70628,316919,0.22285820667110523
youth,High,all_hct,43945,286542,0.15336320678992957
youth,Low,all_hct,216322,375574,0.5759770378141192
youth,Low Medium,all_hct,89841,322439,0.27862944618982194
youth,Medium,all_hct,74067,317754,0.2330954134330331
youth,Medium High,all_hct,57388,302317,0.18982723432688206
youth,High,light_rail,10122,286542,0.03532466444709676
youth,Low,light_rail,136323,375574,0.3629724102307402
youth,Low Medium,light_rail,23251,322439,0.07210976339710767
youth,Medium,light_rail,15294,317754,0.04813157348137238
youth,Medium High,light_rail,14539,302317,0.04809190353172332
youth,High,commuter_rail,754,286542,0.0026313769011174627
youth,Low,commuter_rail,9313,375574,0.024796711167439707
