"County Name","Census Tract","Life Expectancy","Lower CI","Upper CI"
"n/a","State Total","80.34","80.3","80.39"
"Adams","53001950100","76.55","73.33","79.78"
"Adams","53001950200","77.23","74.23","80.23"
"Adams","53001950300","76.84","75.37","78.31"
"Adams","53001950400","77.68","75.21","80.15"
"Adams","53001950500","79.35","77.27","81.43"
"Asotin","53003960100","82.61","80.35","84.88"
"Asotin","53003960200","80.11","77.78","82.45"
"Asotin","53003960300","77.78","74.95","80.61"
"Asotin","53003960400","75.17","72.07","78.28"
"Asotin","53003960500","78.1","76.06","80.13"
"Asotin","53003960600","80.56","78.17","82.95"
"Benton","53005010100","84.86","82.86","86.86"
"Benton","53005010201","79.66","77.49","81.84"
"Benton","53005010202","82.4","80.63","84.16"
"Benton","53005010300","80.02","77.95","82.09"
"Benton","53005010400","81.37","78.87","83.88"
"Benton","53005010500","74.5","72.14","76.85"
"Benton","53005010600","79.5","77.37","81.62"
"Benton","53005010701","74.82","72.03","77.62"
"Benton","53005010703","80.42","77.9","82.94"
"Benton","53005010705","80.98","79.74","82.23"
"Benton","53005010707","83.79","81.06","86.53"
"Benton","53005010708","82.49","80.23","84.75"
"Benton","53005010803","82.16","80.74","83.58"
"Benton","53005010805","81.83","80.38","83.29"
"Benton","53005010807","--","--","--"
"Benton","53005010809","79.06","77.59","80.52"
"Benton","53005010810","81.71","80.03","83.4"
"Benton","53005010811","80.09","77.84","82.34"
"Benton","53005010813","82.85","81.61","84.09"
"Benton","53005010814","80.22","78.52","81.92"
"Benton","53005010901","74.27","72.71","75.83"
"Benton","53005010902","77.62","75.83","79.41"
"Benton","53005011001","78.56","76.81","80.31"
"Benton","53005011002","76.34","74.28","78.4"
"Benton","53005011100","77.48","76.01","78.96"
"Benton","53005011200","76.18","74.41","77.95"
"Benton","53005011300","77.71","75.63","79.79"
"Benton","53005011401","77.7","75.91","79.49"
"Benton","53005011402","80.07","78.2","81.94"
"Benton","53005011501","78.06","76.61","79.51"
"Benton","53005011503","81.38","80.25","82.51"
"Benton","53005011504","80.6","78.66","82.55"
"Benton","53005011600","--","--","--"
"Benton","53005011700","80.1","78.5","81.7"
"Benton","53005011800","80.68","79.19","82.17"
"Benton","53005011900","78.56","76.81","80.31"
"Benton","53005012000","--","--","--"
"Chelan","53007960100","81.35","78.44","84.25"
"Chelan","53007960200","82.92","81.16","84.69"
"Chelan","53007960300","84.62","83.01","86.24"
"Chelan","53007960400","85.36","83.6","87.13"
"Chelan","53007960500","83.37","81.69","85.05"
"Chelan","53007960600","82.33","80.38","84.28"
"Chelan","53007960700","82.06","79.53","84.59"
"Chelan","53007960801","81.59","78.69","84.48"
"Chelan","53007960802","83.1","81.64","84.55"
"Chelan","53007961000","80.91","79.28","82.53"
"Chelan","53007961100","78.88","77.59","80.16"
"Chelan","53007961200","79.83","77.86","81.81"
"Chelan","53007961301","--","--","--"
"Chelan","53007961302","81.26","80.01","82.5"
"Clallam","53009000200","80.12","77.63","82.62"
"Clallam","53009000300","76.5","74.7","78.31"
"Clallam","53009000400","77.19","74.21","80.16"
"Clallam","53009000600","76.04","73.72","78.36"
"Clallam","53009000700","79.64","77.79","81.49"
"Clallam","53009000800","77.28","75.08","79.48"
"Clallam","53009000900","78.01","75.29","80.72"
"Clallam","53009001000","84.71","81.45","87.97"
"Clallam","53009001100","79.84","77.35","82.33"
"Clallam","53009001200","77.96","76.11","79.82"
"Clallam","53009001300","78.13","75.94","80.32"
"Clallam","53009001400","80.26","78.51","82"
"Clallam","53009001500","75.82","72.92","78.72"
"Clallam","53009001600","80.86","77.81","83.92"
"Clallam","53009001700","82.4","80.25","84.56"
"Clallam","53009001800","79.6","76.5","82.69"
"Clallam","53009001900","82.16","80.06","84.25"
"Clallam","53009002000","79.87","77.33","82.4"
"Clallam","53009002100","77.71","75.75","79.67"
"Clallam","53009002300","78.58","75.33","81.83"
"Clallam","53009940000","73.47","69.8","77.14"
"Clallam","53009990100","--","--","--"
"Clark","53011040101","79.47","77.81","81.14"
"Clark","53011040102","83.05","80.9","85.19"
"Clark","53011040201","80.7","78.74","82.66"
"Clark","53011040202","81.88","79.7","84.07"
"Clark","53011040203","80.32","78.5","82.14"
"Clark","53011040301","--","--","--"
"Clark","53011040302","90.57","89.03","92.11"
"Clark","53011040403","83.78","81.93","85.64"
