"County Name","Census Tract","Life Expectancy","Lower CI","Upper CI"
"n/a","State Total","79.82","79.77","79.87"
"Adams","53001950100","81.38","79.36","83.39"
"Adams","53001950200","86.13","82.59","89.66"
"Adams","53001950300","77.93","76.14","79.72"
"Adams","53001950400","83.06","80.13","85.99"
"Adams","53001950500","79.25","77.08","81.43"
"Asotin","53003960100","85.12","82.59","87.64"
"Asotin","53003960200","80.75","78.86","82.64"
"Asotin","53003960300","76.68","74.55","78.81"
"Asotin","53003960400","78.14","75.3","80.98"
"Asotin","53003960500","75.34","73.21","77.48"
"Asotin","53003960600","82.5","80.41","84.6"
"Benton","53005010100","82.47","80.35","84.6"
"Benton","53005010201","80.25","78.32","82.18"
"Benton","53005010202","77.26","75.54","78.98"
"Benton","53005010300","80.66","79.02","82.3"
"Benton","53005010400","80.32","77.79","82.85"
"Benton","53005010500","76.26","74.09","78.42"
"Benton","53005010600","77.85","75.7","80"
"Benton","53005010701","78.17","75.04","81.3"
"Benton","53005010703","78.48","75.95","81"
"Benton","53005010705","80.19","78.5","81.88"
"Benton","53005010707","--","--","--"
"Benton","53005010708","80.35","77.42","83.27"
"Benton","53005010803","81.61","80.13","83.09"
"Benton","53005010805","82.59","80.64","84.54"
"Benton","53005010807","--","--","--"
"Benton","53005010809","79.34","77.72","80.97"
"Benton","53005010810","85.76","83.93","87.59"
"Benton","53005010811","--","--","--"
"Benton","53005010813","84.02","82.38","85.66"
"Benton","53005010814","--","--","--"
"Benton","53005010901","77.41","75.8","79.02"
"Benton","53005010902","77.14","75.02","79.27"
"Benton","53005011001","78.99","77.15","80.82"
"Benton","53005011002","76.33","74.3","78.37"
"Benton","53005011100","77.37","75.94","78.8"
"Benton","53005011200","75.41","73.67","77.15"
"Benton","53005011300","79","77.04","80.97"
"Benton","53005011401","76.68","74.68","78.68"
"Benton","53005011402","79.43","77.44","81.42"
"Benton","53005011501","78.68","76.97","80.38"
"Benton","53005011503","80.42","78.91","81.93"
"Benton","53005011504","--","--","--"
"Benton","53005011600","--","--","--"
"Benton","53005011700","79.62","78.25","81"
"Benton","53005011800","81.24","79.5","82.98"
"Benton","53005011900","82.66","80.41","84.9"
"Benton","53005012000","--","--","--"
"Chelan","53007960100","80.65","78.43","82.87"
"Chelan","53007960200","82.68","81.09","84.27"
"Chelan","53007960300","82.51","81.05","83.97"
"Chelan","53007960400","86.68","84.64","88.71"
"Chelan","53007960500","84.1","82.57","85.63"
"Chelan","53007960600","80.86","78.91","82.8"
"Chelan","53007960700","82.01","79.14","84.88"
"Chelan","53007960801","83.71","81.63","85.79"
"Chelan","53007960802","79.06","77.45","80.68"
"Chelan","53007961000","76.9","75.11","78.68"
"Chelan","53007961100","77.91","76.56","79.26"
"Chelan","53007961200","81.18","79.25","83.11"
"Chelan","53007961301","78.13","74.64","81.61"
"Chelan","53007961302","82.02","80.72","83.31"
"Clallam","53009000200","--","--","--"
"Clallam","53009000300","77.13","75.17","79.09"
"Clallam","53009000400","--","--","--"
"Clallam","53009000600","75.94","73.08","78.79"
"Clallam","53009000700","78.3","76.31","80.29"
"Clallam","53009000800","75.95","73.8","78.1"
"Clallam","53009000900","74.26","71.47","77.06"
"Clallam","53009001000","78.2","75.39","81"
"Clallam","53009001100","81.02","78.79","83.25"
"Clallam","53009001200","76.83","74.44","79.21"
"Clallam","53009001300","76.93","74.4","79.46"
"Clallam","53009001400","81.71","80.13","83.3"
"Clallam","53009001500","78.28","75.56","81"
"Clallam","53009001600","80.12","77.53","82.72"
"Clallam","53009001700","80.08","77.97","82.2"
"Clallam","53009001800","77.54","74.57","80.52"
"Clallam","53009001900","81.66","79.43","83.9"
