aggregation,quintile,access_to,wt_avg_miles
poc,High,all_hct,0.5942408104555787
poc,Low,all_hct,4.476227233802442
poc,Low Medium,all_hct,1.7689154889170688
poc,Medium,all_hct,1.0612006287677018
poc,Medium High,all_hct,0.773684139253413
poc,High,light_rail,2.3502699047759323
poc,Low,light_rail,8.635449391024961
poc,Low Medium,light_rail,5.007118567947275
poc,Medium,light_rail,3.835126734840813
poc,Medium High,light_rail,2.7693008262166905
poc,High,commuter_rail,4.466973999390387
poc,Low,commuter_rail,9.346513531517507
poc,Low Medium,commuter_rail,7.078053500118384
poc,Medium,commuter_rail,6.107389718000968
poc,Medium High,commuter_rail,5.103177909795641
poc,High,ferry,7.493871296114122
poc,Low,ferry,12.298948416100211
poc,Low Medium,ferry,7.737142255596814
poc,Medium,ferry,7.442184099935031
poc,Medium High,ferry,6.9660788388359975
poc,High,passenger_ferry,11.450558217314818
poc,Low,passenger_ferry,17.94776484663802
poc,Low Medium,passenger_ferry,12.942818115411791
poc,Medium,passenger_ferry,13.32399942980237
poc,Medium High,passenger_ferry,12.349646910880118
poc,High,brt,0.6622415826519246
poc,Low,brt,4.81194276777189
poc,Low Medium,brt,1.88180844430766
poc,Medium,brt,1.1989054448556864
poc,Medium High,brt,0.9366167217326002
income,High,all_hct,0.8542243656050781
income,Low,all_hct,2.182872702593505
income,Low Medium,all_hct,1.8176347635187486
income,Medium,all_hct,2.2172691307487473
income,Medium High,all_hct,1.5075358937206054
income,High,light_rail,3.6213052598778512
income,Low,light_rail,4.3272355201212624
income,Low Medium,light_rail,4.4968404208795105
income,Medium,light_rail,5.338476695088025
income,Medium High,light_rail,4.651598315426099
income,High,commuter_rail,4.434665791444925
income,Low,commuter_rail,8.205304376945808
income,Low Medium,commuter_rail,6.838301272944946
income,Medium,commuter_rail,6.932682832337455
income,Medium High,commuter_rail,5.614252699997017
income,High,ferry,8.009534269957653
income,Low,ferry,7.58965897680333
income,Low Medium,ferry,7.907037083146219
income,Medium,ferry,8.872447657815448
income,Medium High,ferry,9.393503807475396
income,High,passenger_ferry,13.786992877932516
income,Low,passenger_ferry,12.65645036358405
income,Low Medium,passenger_ferry,12.6118107502998
income,Medium,passenger_ferry,14.263711116896246
income,Medium High,passenger_ferry,14.57862823126717
income,High,brt,0.8646170125651536
income,Low,brt,2.5343095132339255
income,Low Medium,brt,2.0280132093932752
income,Medium,brt,2.401130165245668
income,Medium High,brt,1.5664499090505297
disability,High,all_hct,2.407217369360498
disability,Low,all_hct,1.0052898834399266
disability,Low Medium,all_hct,1.3841776831085029
disability,Medium,all_hct,1.7655402115882997
disability,Medium High,all_hct,2.0807726592356843
disability,High,light_rail,6.598363087002961
disability,Low,light_rail,2.2399401164913666
disability,Low Medium,light_rail,3.2262960720094322
disability,Medium,light_rail,4.5031187111819495
disability,Medium High,light_rail,6.048494473322581
disability,High,commuter_rail,6.943574980297799
disability,Low,commuter_rail,6.306227729542557
disability,Low Medium,commuter_rail,6.458212040712944
disability,Medium,commuter_rail,5.898428391850176
disability,Medium High,commuter_rail,6.43715323898095
disability,High,ferry,11.00770249145398
disability,Low,ferry,4.933467644610707
disability,Low Medium,ferry,6.738841956053476
disability,Medium,ferry,9.077837383820244
disability,Medium High,ferry,10.232318227722999
disability,High,passenger_ferry,17.56160048713922
disability,Low,passenger_ferry,8.58915859433088
disability,Low Medium,passenger_ferry,11.809000830350382
disability,Medium,passenger_ferry,14.493858435081043
disability,Medium High,passenger_ferry,15.670384617219193
disability,High,brt,2.4748488228694625
disability,Low,brt,1.2108623584105869
disability,Low Medium,brt,1.5917652746154216
disability,Medium,brt,1.9359953392409115
disability,Medium High,brt,2.2396704972614976
youth,High,all_hct,2.440663267137924
youth,Low,all_hct,0.7176486360410667
youth,Low Medium,all_hct,1.819132682496441
youth,Medium,all_hct,1.9006733817159092
youth,Medium High,all_hct,1.9088779222895695
youth,High,light_rail,5.918318783023073
youth,Low,light_rail,2.371146472837474
youth,Low Medium,light_rail,4.6561662683210105
youth,Medium,light_rail,4.812639314159061
youth,Medium High,light_rail,5.120725075213386
youth,High,commuter_rail,7.6962474417330045
youth,Low,commuter_rail,4.6332478811978275
youth,Low Medium,commuter_rail,6.18150622300631
youth,Medium,commuter_rail,6.904828533490077
youth,Medium High,commuter_rail,6.9534428117576335
youth,High,ferry,11.753083831092876
youth,Low,ferry,4.191960428178642
youth,Low Medium,ferry,8.192188451862334
youth,Medium,ferry,8.981138102899662
youth,Medium High,ferry,9.517545996468838
youth,High,passenger_ferry,18.236256798004906
youth,Low,passenger_ferry,7.675197245270016
youth,Low Medium,passenger_ferry,13.838605280458658
youth,Medium,passenger_ferry,14.696452162552154
youth,Medium High,passenger_ferry,14.561915437944787
youth,High,brt,2.652574084689288
youth,Low,brt,0.8432295675808384
youth,Low Medium,brt,1.9761464408878189
youth,Medium,brt,2.1561303640649907
youth,Medium High,brt,1.9775467628558054
older,High,all_hct,2.181114635178215
older,Low,all_hct,0.953819542949161
older,Low Medium,all_hct,1.2893790807803964
older,Medium,all_hct,1.8751434677866574
older,Medium High,all_hct,2.330096047057757
older,High,light_rail,5.559458151347202
older,Low,light_rail,2.718247824544351
older,Low Medium,light_rail,3.6045348124139243
older,Medium,light_rail,4.835229378582889
older,Medium High,light_rail,5.834729153511469
older,High,commuter_rail,7.134735423373066
older,Low,commuter_rail,5.057493698579443
older,Low Medium,commuter_rail,6.295408193521353
older,Medium,commuter_rail,6.390720991354605
older,Medium High,commuter_rail,7.191407812044602
older,High,ferry,8.20661713725023
older,Low,ferry,6.277994748968425
older,Low Medium,ferry,8.13307571927555
older,Medium,ferry,9.549825261970069
older,Medium High,ferry,9.679063977594588
older,High,passenger_ferry,13.385073890534967
older,Low,passenger_ferry,10.646723218024379
older,Low Medium,passenger_ferry,13.230012448249914
