aggregation,quintile,access_to,wt_avg_miles
older,Medium,passenger_ferry,15.62189302983761
older,Medium High,passenger_ferry,15.05829180268664
older,High,brt,2.5017166832953825
older,Low,brt,1.126078069008376
older,Low Medium,brt,1.4272929800903975
older,Medium,brt,1.9665162945585755
older,Medium High,brt,2.4252884759297615
lep,High,all_hct,0.48893755705935166
lep,Low,all_hct,3.563928265778828
lep,Low Medium,all_hct,2.2831535406035814
lep,Medium,all_hct,1.4461329993883782
lep,Medium High,all_hct,0.9460664602857335
lep,High,light_rail,2.0413518148680883
lep,Low,light_rail,7.802111836391664
lep,Low Medium,light_rail,6.067652368741929
lep,Medium,light_rail,3.9384951629564378
lep,Medium High,light_rail,2.8768413917774085
lep,High,commuter_rail,4.54935698176771
lep,Low,commuter_rail,8.575781436919229
lep,Low Medium,commuter_rail,7.236341113880085
lep,Medium,commuter_rail,6.206335437948886
lep,Medium High,commuter_rail,5.618289418612921
lep,High,ferry,6.745242209699831
lep,Low,ferry,11.337890392279842
lep,Low Medium,ferry,9.308590237847305
lep,Medium,ferry,7.631467513710608
lep,Medium High,ferry,6.999460007247793
lep,High,passenger_ferry,10.713831465814808
lep,Low,passenger_ferry,16.769082469964474
lep,Low Medium,passenger_ferry,14.839141595447137
lep,Medium,passenger_ferry,13.607433616547599
lep,Medium High,passenger_ferry,12.197898382288702
lep,High,brt,0.5116944754457867
lep,Low,brt,3.7635223074766837
lep,Low Medium,brt,2.45037335161998
lep,Medium,brt,1.7315856122686761
lep,Medium High,brt,1.0878283462143015
