index,geoid20,wt_avg_miles,access_to,aggregation
116,530330032021,0.16280442315073465,all_hct,poc
117,530330032022,0.15589542974928608,all_hct,poc
118,530330032023,0.43171527334188026,all_hct,poc
119,530330033011,0.13308114187406123,all_hct,poc
120,530330033012,0.1361097974289438,all_hct,poc
121,530330033013,0.11299486663190883,all_hct,poc
122,530330033021,0.34267902246906123,all_hct,poc
123,530330033022,0.19738380836551733,all_hct,poc
124,530330033023,0.1096084242453217,all_hct,poc
125,530330034001,0.39557347107845686,all_hct,poc
126,530330034002,0.5820813639537361,all_hct,poc
127,530330034003,0.17956827347479587,all_hct,poc
128,530330035001,0.319343848816931,all_hct,poc
129,530330035002,0.32363344893224466,all_hct,poc
130,530330035003,0.3050158519988072,all_hct,poc
131,530330036011,0.06505800679307001,all_hct,poc
132,530330036012,0.17845977445215946,all_hct,poc
133,530330036013,0.06628147565730919,all_hct,poc
134,530330036021,0.11312740985586717,all_hct,poc
135,530330036022,0.10891345098094857,all_hct,poc
136,530330036023,0.09399192913351204,all_hct,poc
137,530330038001,0.17098887701500065,all_hct,poc
138,530330038002,0.14879475982336435,all_hct,poc
139,530330039001,0.277255228450713,all_hct,poc
140,530330039002,0.2511163416805809,all_hct,poc
141,530330040001,0.09616739033969042,all_hct,poc
142,530330040002,0.2336356788921576,all_hct,poc
143,530330041011,0.6240090415899947,all_hct,poc
144,530330041012,0.6146172019838866,all_hct,poc
145,530330041013,0.2133557710518417,all_hct,poc
146,530330041021,0.2621654353982087,all_hct,poc
147,530330041022,0.34882932127728555,all_hct,poc
148,530330041023,0.37917965814267046,all_hct,poc
149,530330042011,0.1677806227748818,all_hct,poc
150,530330042012,0.217493916861977,all_hct,poc
151,530330042013,0.21804165590835603,all_hct,poc
152,530330042021,0.13878999414127285,all_hct,poc
153,530330042022,0.23780262174485367,all_hct,poc
154,530330042023,0.22347463509451165,all_hct,poc
155,530330043011,0.13939535794994418,all_hct,poc
156,530330043012,0.1472697681421198,all_hct,poc
157,530330043013,0.14836508099395965,all_hct,poc
158,530330043021,0.1019868250354081,all_hct,poc
159,530330043022,0.16603921689348977,all_hct,poc
160,530330043023,0.20836527064830884,all_hct,poc
161,530330044011,0.17037221655971158,all_hct,poc
162,530330044012,0.0680440409302667,all_hct,poc
163,530330044013,0.1430903207275582,all_hct,poc
164,530330044021,0.08093878707845586,all_hct,poc
165,530330044022,0.07206315996733076,all_hct,poc
166,530330044023,0.07871975642540781,all_hct,poc
167,530330045001,0.14025801248065012,all_hct,poc
168,530330045002,0.13348175433064105,all_hct,poc
169,530330046001,0.24539172310989033,all_hct,poc
170,530330046002,0.11035488806129007,all_hct,poc
171,530330046003,0.08210645820389904,all_hct,poc
172,530330047011,0.13395604440149417,all_hct,poc
173,530330047012,0.05367257514180623,all_hct,poc
174,530330047013,0.05760469302790657,all_hct,poc
175,530330047021,0.1517245004818437,all_hct,poc
176,530330047022,0.07830664000822625,all_hct,poc
177,530330047023,0.11345167800691128,all_hct,poc
178,530330047031,0.12534363208063057,all_hct,poc
179,530330047032,0.1236303388389963,all_hct,poc
180,530330047033,0.11233307958746781,all_hct,poc
181,530330048001,0.08132929839803532,all_hct,poc
182,530330048002,0.1749284065706693,all_hct,poc
183,530330048003,0.10266405879238046,all_hct,poc
184,530330048004,0.15538232127851037,all_hct,poc
185,530330049011,0.1177706043972224,all_hct,poc
186,530330049012,0.16191223897087284,all_hct,poc
187,530330049013,0.14387510890015184,all_hct,poc
188,530330049021,0.2586786500256555,all_hct,poc
189,530330049022,0.14477393159671123,all_hct,poc
190,530330050001,0.11336130759775812,all_hct,poc
191,530330050002,0.10721950604601908,all_hct,poc
192,530330050003,0.0772284093205131,all_hct,poc
193,530330051001,0.08677701122112441,all_hct,poc
194,530330051002,0.24361603788086136,all_hct,poc
195,530330051003,0.4027277037626194,all_hct,poc
196,530330052011,0.28324953604210795,all_hct,poc
197,530330052012,0.11896554830287905,all_hct,poc
198,530330052013,0.08454610366031558,all_hct,poc
199,530330052021,0.07235136091153103,all_hct,poc
200,530330052022,0.08056430868099634,all_hct,poc
201,530330052023,0.11486114266874754,all_hct,poc
202,530330053031,0.21557638527871253,all_hct,poc
203,530330053042,0.030249472568407088,all_hct,poc
204,530330053051,0.05891839106856061,all_hct,poc
