,poc,non_poc,income,non_income,disability,non_disability,youth,non_youth,older,non_older,lep,non_lep
all_hct,1.1802228363032727,2.158884432740462,1.4979124188639426,1.9234288587770911,2.0184801979432794,1.7884491111780776,2.012303354782029,1.7543878389363312,2.0311631469130464,1.77644461810408,0.8501673803484356,1.8871556897714241
light_rail,3.6595667472807243,5.307006028408057,4.512224132185116,4.832743481471954,5.384166670074203,4.593626254623818,5.151581666580335,4.580978896166101,5.129572443324119,4.650819045948867,2.774900978384902,4.865380869389694
commuter_rail,5.6862000634222145,7.042578309776661,5.712519319857228,6.817710025313174,6.624968263985306,6.593054721777153,6.9654801964977135,6.419693885350955,6.843652770666583,6.519768822246449,5.176559133886539,6.668480351363715
ferry,8.056242509881816,9.274319843128817,8.834267742880094,8.887488874751277,9.681842745932611,8.646472647435758,9.669586633673553,8.4854832196353,9.045876559450818,8.82126015039634,7.4189945342884345,8.946983950145299
passenger_ferry,13.209567169659023,14.814528351181577,14.458438454732129,14.24999921581551,15.423343512681589,13.966682617184857,15.412686994245941,13.736933034527958,14.491989776362464,14.224679403557614,12.122064132227118,14.395119188140269
brt,1.3073096504777988,2.343560262962262,1.591338229288134,2.10708099326441,2.1554991660722806,1.9626112700068143,2.1899188990678726,1.9144879827920942,2.211744346225953,1.9374863909417335,0.9411222883289386,2.056643652259889
